title,company,location,description,skills,apply_url
AI/ML Intern,TechNova Labs,Remote,"Assist in building machine learning pipelines, evaluate models, prepare datasets and expose experiments through simple APIs.","Python; Machine Learning; Pandas; NumPy; Scikit-learn; Git; FastAPI",https://example.com/jobs/ai-ml-intern
NLP Intern,LanguageWorks,Hybrid - Bengaluru,"Build text classification and semantic search prototypes, clean text datasets and evaluate transformer models.","Python; Natural Language Processing; Transformers; Hugging Face; Sentence Transformers; PyTorch; Git",https://example.com/jobs/nlp-intern
Data Science Intern,InsightSphere,Remote,"Analyze business datasets, create dashboards, perform statistical analysis and train baseline predictive models.","Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Power BI; Excel",https://example.com/jobs/data-science-intern
Computer Vision Intern,VisionGrid,On-site - Pune,"Develop image preprocessing, classification and object-detection experiments for industrial inspection.","Python; Computer Vision; OpenCV; PyTorch; TensorFlow; Deep Learning; Git",https://example.com/jobs/cv-intern
Generative AI Intern,PromptForge,Hybrid - Gurugram,"Prototype LLM applications, retrieval augmented generation workflows and prompt evaluation utilities.","Python; Generative AI; Large Language Models; Prompt Engineering; LangChain; Vector Database; FastAPI",https://example.com/jobs/genai-intern
Junior ML Engineer,ModelCraft,Remote,"Productionize trained models, create inference services, monitor experiments and collaborate with backend engineers.","Python; Machine Learning; FastAPI; Docker; SQL; MLflow; Model Deployment; Git",https://example.com/jobs/junior-ml-engineer
Data Analyst Intern,MetricLoop,On-site - Noida,"Clean data, write SQL queries, produce dashboards and communicate findings to product stakeholders.","SQL; Excel; Power BI; Data Analysis; Statistics; Communication",https://example.com/jobs/data-analyst-intern
Python Backend Intern,CloudByte,Remote,"Build REST APIs and data services, write tests and work with relational databases.","Python; FastAPI; REST API; PostgreSQL; Git; Docker; Linux",https://example.com/jobs/python-backend-intern
MLOps Intern,DeployAI,Hybrid - Hyderabad,"Support model packaging, experiment tracking, CI pipelines and cloud deployments.","Python; MLOps; Docker; Kubernetes; MLflow; CI/CD; AWS; Git",https://example.com/jobs/mlops-intern
Business Intelligence Intern,DataCanvas,On-site - Mumbai,"Build executive dashboards, validate data and prepare recurring performance reports.","Power BI; SQL; Excel; Data Visualization; Data Analysis; Communication",https://example.com/jobs/bi-intern
Recommendation Systems Intern,ShopSense AI,Remote,"Experiment with ranking and recommendation algorithms using user-event and catalog data.","Python; Recommendation Systems; Machine Learning; Pandas; SQL; Scikit-learn; A/B Testing",https://example.com/jobs/recsys-intern
AI Research Intern,NeuralFrontier,Hybrid - Chennai,"Reproduce papers, run deep-learning experiments and document model behavior.","Python; Deep Learning; PyTorch; Transformers; Statistics; Model Evaluation; Git",https://example.com/jobs/ai-research-intern
Data Engineering Intern,PipelineHub,Remote,"Create reliable ETL pipelines, validate data quality and maintain batch processing jobs.","Python; SQL; ETL; Apache Spark; Airflow; PostgreSQL; Docker",https://example.com/jobs/data-engineering-intern
Full Stack AI Intern,AppMind,Hybrid - Bengaluru,"Build a Streamlit or React interface connected to AI inference APIs and a database.","Python; Streamlit; FastAPI; React; REST API; SQLite; Git; Docker",https://example.com/jobs/full-stack-ai-intern
Cloud AI Intern,SkyCompute,Remote,"Deploy machine learning demos on cloud services and automate repeatable environments.","Python; AWS; Docker; Model Deployment; FastAPI; Terraform; Git",https://example.com/jobs/cloud-ai-intern
